id,pid,diet_veg,diet_gf,diet_sf,diet_egg,diet_nut,diet_soy,diet_wheat,diet_fish,diet_shellfish,diet_oth_allergy,diet_oth_res,diet_none,diet_pna,purch_groc_ol_freq,purch_milk_is,purch_milk_ol,purch_milk_pna,purch_milk_is_freq,purch_milk_is_ware,purch_milk_is_bigbox,purch_milk_is_super,purch_milk_is_spec,purch_milk_is_disc,purch_milk_is_conv,purch_milk_is_local,purch_milk_is_oth,purch_milk_is_othtxt,purch_milk_ol_freq,purch_milk_ol_loc,AttentionCheck1,cons_milk_freq,purch_milk_size,purch_milk_size_oth,milk_whole,milk_2pct,milk_1pct,milk_skim,milk_lf,milk_a2,milk_cream,milk_homo,milk_oth,milk_pna,milk_othtxt,milk_price,spend,rank_brand,rank_fat,rank_claim,rank_price,notice_sellby,last_exp_nps,last_exp_nbr,poor_exp,poor_exp_taste,poor_exp_smell,poor_exp_sick,poor_exp_sour,poor_exp_pkg,poor_exp_2day,poor_exp_expired,poor_exp_texture,poor_exp_oth,poor_exp_pna,poor_exp_badb4exp,poor_exp_othtxt,poor_exp_freq,poor_exp_chg_switch_st,poor_exp_chg_switch_sp,poor_exp_chg_switch_brand,poor_exp_chg_switch_type,poor_exp_chg_nc,poor_exp_chg_pna,poor_exp_chg_switch_detail,poor_exp_chg_switch_alloc,good_exp_is_ret,good_exp_is_nps,good_exp_is_nbr,poor_exp_is_ret,poor_exp_is_nps,poor_exp_is_nbr,good_exp_ic_ret,good_exp_ic_nps,good_exp_ic_nbr,poor_exp_ic_ret,poor_exp_ic_nps,poor_exp_ic_nbr,good_exp_olsp_ret,good_exp_olsp_nps,good_exp_olsp_nbr,poor_exp_olsp_ret,poor_exp_olsp_nps,poor_exp_olsp_nbr,good_exp_stweb_ret,good_exp_stweb_nps,good_exp_stweb_nbr,poor_exp_stweb_ret,poor_exp_stweb_nps,poor_exp_stweb_nbr,birth_yr,age,age_cat,gender,gender_txt,eth_white,eth_me_na,eth_black,eth_native,eth_asian,eth_pi,eth_latino,eth_oth,eth_pna,eth_othtxt,edu,emp,hhinc,ms,child,state
R_3smH6mHdRR8jBYb,61522983a596d0aa25117787,,,,,,,,,,,,None,,About once per week,In a store,Online (through an app or web browser),,Approximately every 10 - 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,"Discount chains (Aldi, Dollar Tree, Dollar General, Big Lots, etc.)",,,,,Less frequently than every 14 days,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Multiple times a week,Gallon,,Whole milk,,,,,,,,,,,$2-4,$50-100,1,4,3,2,Yes,Promoter,9,Yes,When milk was not sour but it did not taste as I expected,When milk does not smell as I expected,,,,When the milk is less than or equal to 2 days from expiration date,,,,,,,Rarely,,,,,"No, nothing changed",,,,Very Likely,Passive,8,Neutral,Detractor,3,,,NA,,,NA,,,NA,,,NA,Very Likely,Passive,8,Unlikely,Detractor,2,2003,19,25 or younger,Female,,White,,,,,,,,,,High school diploma/ GED,Working part-time,"$80,000 to $89,999",Never married,No,Florida
R_1DoKzgGg0GfKSQs,5f455ed3326727130e7d4a49,,,,,,,,,,,,None,,Several times a month,In a store,,,Approximately every 10 - 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,,,Strongly Disagree,Once a week,Gallon,,Whole milk,,,,,,,,,,,$2-4,$100-150,4,3,2,1,Yes,Promoter,9,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,10,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2002,20,25 or younger,Female,,White,,,,,,,,,,High school diploma/ GED,Unemployed and looking for work,"Less than $10,000",Living with a partner,Yes,West Virginia
R_3h4Lde4hU2YlLnK,616fc252f8d37fa2ca0368fc,,,,,,,,,,,,None,,About once per week,In a store,Online (through an app or web browser),,Approximately once a week,"Warehouse club stores (Costco, Sam's Club, BJ's, etc.)","Large/national big-box stores (Walmart, Target, K-Mart, etc.)",,,"Discount chains (Aldi, Dollar Tree, Dollar General, Big Lots, etc.)",,Small/local grocery stores,,,Approximately once a week,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Multiple times a day,Gallon,,Whole milk,2%,,,,,,,,,,$2-4,$50-100,4,3,1,2,Yes,Promoter,10,Yes,,When milk does not smell as I expected,,,When the milk container is dirty or damaged,,,,,,,,Rarely,,,,,"No, nothing changed",,,,Very Likely,Promoter,10,Unlikely,Detractor,0,,,NA,,,NA,,,NA,,,NA,Very Likely,Promoter,10,Unlikely,Detractor,0,2002,20,25 or younger,Female,,White,,,,,,,,,,High school diploma/ GED,Unemployed and looking for work,"$40,000 to $49,999",Never married,No,Florida
R_D2UMqnvw9AJlcKR,611688156f6d22853511ffb3,,,,,,,,,,,,None,,Several times a month,In a store,,,Approximately every 10 - 14 days,,,"Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,,,Strongly Disagree,Multiple times a week,Gallon,,Whole milk,,,,,,,,,,,$2-4,$25-50,3,2,4,1,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,10,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2001,21,25 or younger,Male,,White,,,,,,,,,,High school diploma/ GED,Working part-time,"$20,000 to $29,999",Never married,No,Maryland
R_1OK0iuNn0vNJ6dR,6019ee6f2f08d9171cce18cb,Vegetarian,,,,,,,,,,,,,Once in a few months or longer,In a store,,,Approximately every 10 - 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)",,,,,,,,,,Strongly Disagree,Multiple times a week,Gallon,,Whole milk,2%,,,,,,,,,,$2-4,$25-50,4,1,3,2,Yes,Passive,7,Yes,,When milk does not smell as I expected,,When the milk has a sour taste,,,When the milk is expired,,,,,,Rarely,,,,,"No, nothing changed",,,,Very Likely,Detractor,6,Likely,Detractor,5,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,2000,22,25 or younger,Male,,,,,,,,Hispanic/Latino,,,,Some college but no degree,Unemployed and looking for work,"$20,000 to $29,999",Never married,Yes,Massachusetts
R_WCYOIWJMngrRd1T,5b92f80b2f777d000175da5c,,,,,,,,,,,,None,,About once a month,In a store,Online (through an app or web browser),,Less frequently than every 14 days,"Warehouse club stores (Costco, Sam's Club, BJ's, etc.)",,,,"Discount chains (Aldi, Dollar Tree, Dollar General, Big Lots, etc.)",,,,,Less frequently than every 14 days,Instacart,Strongly Disagree,Multiple times a week,Gallon,,Whole milk,,,,,,,,,,,$4+,$50-100,1,4,3,2,Yes,Promoter,9,No,,,,,,,,,,,,,,,,,,,,,,Neutral,Promoter,9,,,NA,Neutral,Passive,8,,,NA,,,NA,,,NA,,,NA,,,NA,1999,23,25 or younger,Female,,White,,Black or African American,,,,Hispanic/Latino,,,,High school diploma/ GED,Working full-time,"$20,000 to $29,999",Never married,No,Texas
R_2Xmt87HnC0SZif7,60ff1a46e2c41c53e651db0a,,Gluten-free,,,,,Wheat or grain allergy,,Shellfish allergy,,,,,Once in a few months or longer,In a store,,,Approximately every 10 - 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,Small/local grocery stores,,,,,Strongly Disagree,Multiple times a week,Gallon,,,,,Skim milk,,,,,,,,$2-4,$50-100,2,1,4,3,Yes,Promoter,9,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,10,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1999,23,25 or younger,Female,,White,,,,,,,,,,Bachelor's degree in college (4-year),Working part-time,"$10,000 to $19,999",Living with a partner,No,Idaho
R_3lDZeLF7u8uf4WL,60ff32677943528c59d4cfb3,,,,,,,,,,,,None,,Once in a few months or longer,In a store,,,Approximately once a week,"Warehouse club stores (Costco, Sam's Club, BJ's, etc.)","Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,,,Strongly Disagree,Once a week,Gallon,,,2%,,,,,,,,,,$2-4,$50-100,1,3,4,2,Yes,Detractor,6,Yes,,When milk does not smell as I expected,,,,When the milk is less than or equal to 2 days from expiration date,,,,,,,Rarely,,,,,"No, nothing changed",,,,Likely,Passive,7,Neutral,Detractor,3,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1999,23,25 or younger,Female,,,,,,Asian (including South Asian),,,,,,Bachelor's degree in college (4-year),Unemployed and looking for work,"$40,000 to $49,999",Never married,No,New York
R_1MS8pOJ9j57KMsw,610052d35af3503970fef4a7,,,,,,,,,,,,None,,About once a month,In a store,,,Approximately every 10 - 14 days,,,"Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)","Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)",,,,,,,,Strongly Disagree,Multiple times a week,Half-gallon,,,,1%,,,,,,,,,$2-4,$50-100,3,2,4,1,Yes,Detractor,6,Yes,,When milk does not smell as I expected,When you get sick from the food product,,,,,,,,,,Rarely,,,,Switch milk type,,,,,Very Likely,Promoter,9,Very unlikely,Detractor,0,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1999,23,25 or younger,Female,,White,,,,,,,,,,Bachelor's degree in college (4-year),Working part-time,"$20,000 to $29,999",Living with a partner,No,Illinois
R_2Vz76vGsb2neG86,5ae3a41d32ef52000131a531,,,,,,,,,,,,None,,About once a month,In a store,Online (through an app or web browser),,Approximately once a week,"Warehouse club stores (Costco, Sam's Club, BJ's, etc.)","Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,Less frequently than every 14 days,PeaPod,Strongly Disagree,Once a day,Gallon,,Whole milk,,,,,,,,,,,$4+,$50-100,1,2,4,3,Yes,Promoter,9,Yes,When milk was not sour but it did not taste as I expected,,When you get sick from the food product,,,,When the milk is expired,,,,,,Rarely,Switch stores,,,,,,"Yes, to buy specific products",20-50%,Neutral,Detractor,5,Unlikely,Detractor,1,,,NA,,,NA,Very Likely,Promoter,9,Very Unlikely,Detractor,0,,,NA,,,NA,1998,24,25 or younger,Male,,,,Black or African American,,,,,,,,High school diploma/ GED,Working full-time,"$50,000 to $59,999",Never married,No,Pennsylvania
R_3CZ3XLPfFO4KDd4,5c663cd56fdc87000162e255,Vegetarian,,,,,,,,,,,,,Several times a month,In a store,,,Approximately every 10 - 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)",,,,,Small/local grocery stores,,,,,Strongly Disagree,Less than once a week,Gallon,,,2%,,,,,,,,,,$4+,$50-100,2,4,3,1,Yes,Passive,8,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Detractor,6,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1998,24,25 or younger,Male,,White,,,,,,,,,,Some college but no degree,Working full-time,"$50,000 to $59,999",Never married,No,Pennsylvania
R_3suGnKrwFeYh46Z,5cc27fab9402ad001ac3a494,,,,,,,,,,,,None,,Several times a month,In a store,Online (through an app or web browser),,Less frequently than every 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,Less frequently than every 14 days,Amazon Fresh,Strongly Disagree,Less than once a week,Gallon,,,2%,,,,,,,,,,$4+,$50-100,3,1,4,2,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Passive,8,,,NA,,,NA,,,NA,Very Likely,Promoter,10,,,NA,,,NA,,,NA,1998,24,25 or younger,Female,,,,Black or African American,,,,,,,,Did not complete high school,Unemployed and looking for work,"$20,000 to $29,999",Never married,No,Florida
R_3MFE1yXIrwCrUxO,5e90b7d2dc69fd3de27660f3,,,,,,,,,,,,None,,Once in a few months or longer,In a store,,,Approximately every 10 - 14 days,,,,,,,Small/local grocery stores,,,,,Strongly Disagree,Multiple times a week,Half-gallon,,Whole milk,2%,,,,,,,,,,$2-4,$100-150,2,3,4,1,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,10,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1998,24,25 or younger,Male,,,,Black or African American,,,,,,,,Some college but no degree,A homemaker or stay-at-home parents,"Less than $10,000",Married,Yes,Maryland
R_sTjD9tFO3gOqP2p,5ef2d7247fab4b18187eb534,,,,,,,,,,,,None,,About once a month,In a store,,,Less frequently than every 14 days,"Warehouse club stores (Costco, Sam's Club, BJ's, etc.)","Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,,,Strongly Disagree,Once a week,Quart,,,2%,,,,,,,,,,$2-4,$25-50,3,1,4,2,No,Passive,7,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,9,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1998,24,25 or younger,Male,,,,,,Asian (including South Asian),,,,,,Bachelor's degree in college (4-year),Working full-time,"$30,000 to $39,999",Never married,No,Missouri
R_21aBfArM7XQ0mJf,5f0e9896f5e4e11e12c8f5ac,,,,,,,,,,,,None,,Several times a month,In a store,,,Less frequently than every 14 days,,,"Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,Small/local grocery stores,,,,,Strongly Disagree,Less than once a week,Gallon,,,2%,,,,,,,,,,$2-4,$50-100,1,3,4,2,Yes,Passive,8,Yes,,When milk does not smell as I expected,,,,,When the milk is expired,,,,,,Rarely,,,,,"No, nothing changed",,,,Likely,Passive,7,Neutral,Detractor,3,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1998,24,25 or younger,Male,,White,,,,,,,,,,Some college but no degree,Working full-time,"$90,000 to $99,999",Never married,No,Wisconsin
R_2thdKIv0yeVI9kh,5f3c23cbcee6b3a3c4faff76,,,,,,,,,,,,None,,Once in a few months or longer,In a store,,,Approximately every 10 - 14 days,,,"Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,,,Strongly Disagree,Multiple times a week,Half-gallon,,Whole milk,,,,,,,,,,,$2-4,$25-50,3,2,4,1,Yes,Promoter,10,Yes,,,,,,,,,,,When milk goes bad before the expiration date,,Rarely,,,,,"No, nothing changed",,,,Very Likely,Detractor,5,Very Likely,Detractor,5,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1998,24,25 or younger,Female,,White,,,,,,,,,,High school diploma/ GED,Working part-time,"Less than $10,000",Never married,No,Indiana
R_3fwPC6XiPCHisox,5fb0a3d6a8e4224b973e750b,,,,,,,,,,,,None,,About once a month,In a store,,,Approximately every 10 - 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,,,Strongly Disagree,Multiple times a week,Gallon,,Whole milk,,,,Lactose-free milk,,,,,,,$2-4,$25-50,1,4,3,2,Yes,Promoter,10,Yes,When milk was not sour but it did not taste as I expected,,,When the milk has a sour taste,,,,,,,,,Never,,,Switch milk producer / brand,Switch milk type,,,,,Very Likely,Promoter,10,Neutral,Detractor,5,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1998,24,25 or younger,Male,,,,,,,,Hispanic/Latino,,,,High school diploma/ GED,Working full-time,"Less than $10,000",Never married,No,California
R_2uJthrlNIRGPM03,601b56a319565951c0e6a626,,,,,,,,,,,,None,,About once per week,In a store,,,Approximately every 10 - 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,"Discount chains (Aldi, Dollar Tree, Dollar General, Big Lots, etc.)",Convenience stores,Small/local grocery stores,,,,,Strongly Disagree,Less than once a week,Half-gallon,,Whole milk,2%,1%,,,,,,,,,$2-4,$50-100,NA,NA,NA,NA,Yes,Passive,8,Yes,,,,When the milk has a sour taste,,,When the milk is expired,,,,,,Rarely,,,,,"No, nothing changed",,,,Likely,Detractor,6,Unlikely,Detractor,2,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1998,24,25 or younger,Prefer to self-describe,genderqueer,White,,,,,,,,,,Graduate Degree,Unemployed and looking for work,"$10,000 to $19,999",Never married,Yes,New York
R_wSEjrUPJhNg12IF,60ea823910936e7bff37d86b,,,,,,,,,,,,None,,Several times a month,,Online (through an app or web browser),,,,,,,,,,,,Approximately once a week,"Store-specific online services (Stop and Shop online delivery/pickup, Walmart+, etc)",Strongly Disagree,Less than once a week,Half-gallon,,Whole milk,,,,,,,,,,,$2-4,$150+,3,2,4,1,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,Very Likely,Promoter,10,,,NA,1998,24,25 or younger,Male,,White,,,,,,,,,,Bachelor's degree in college (4-year),Unemployed and looking for work,"$10,000 to $19,999",Never married,No,Louisiana
R_31TAmRFxC2uLGlv,61422ddf29bfe1c002aa21b1,,Gluten-free,Sugar-free,,,,,,,,,,,Once in a few months or longer,In a store,,,Less frequently than every 14 days,"Warehouse club stores (Costco, Sam's Club, BJ's, etc.)",,,"Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc)","Discount chains (Aldi, Dollar Tree, Dollar General, Big Lots, etc.)",,,,,,,Strongly Disagree,Less than once a week,Half-gallon,,,2%,,,,,,,,,,$2-4,$50-100,4,2,1,3,Yes,Passive,7,Yes,When milk was not sour but it did not taste as I expected,When milk does not smell as I expected,,When the milk has a sour taste,,,When the milk is expired,,,,,,Rarely,,,,,"No, nothing changed",,,,Very Likely,Detractor,6,Neutral,Detractor,3,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1998,24,25 or younger,Female,,White,,,,,,,,,,Graduate Degree,Working part-time,"$90,000 to $99,999",Never married,No,Kentucky
R_1k17yAxXlqkNo3U,5ca94409c3ac86001108b199,,,,,,,,,,,,None,,Once in a few months or longer,In a store,,,Approximately every 10 - 14 days,,"Large/national big-box stores (Walmart, Target, K-Mart, etc.)","Large supermarkets (Harps, Tops, Sprouts, Kroger, Publix, Albertsons, etc.)",,,,,,,,,Strongly Disagree,Less than once a week,Gallon,,,2%,,,,,,,,,,$2-4,$25-50,4,1,3,2,Yes,Promoter,10,No,,,,,,,,,,,,,,,,,,,,,,Very Likely,Promoter,10,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,1997,25,25 or younger,Male,,White,,,,,,,,,,High school diploma/ GED,Working part-time,"$20,000 to $29,999",Never married,No,Ohio
